================ Training Loss (Sat Nov 29 20:58:22 2025) ================
[Rank 0] (epoch: 1, iters: 600, time: 0.086, data: 0.026) , D_A: 0.199, G_A: 0.518, cycle_A: 2.855, D_B: 0.174, G_B: 0.405, cycle_B: 2.999, clip_style_AtoB: 7.383, clip_style_BtoA: 7.340, edge_AtoB: 3.478

[Rank 0] (epoch: 1, iters: 620, time: 0.087, data: 0.025) , D_A: 0.171, G_A: 0.551, cycle_A: 2.400, D_B: 0.480, G_B: 0.624, cycle_B: 2.800, clip_style_AtoB: 7.414, clip_style_BtoA: 7.430, edge_AtoB: 4.244

[Rank 0] (epoch: 1, iters: 640, time: 0.087, data: 0.015) , D_A: 0.241, G_A: 0.770, cycle_A: 2.530, D_B: 0.424, G_B: 0.688, cycle_B: 2.797, clip_style_AtoB: 7.312, clip_style_BtoA: 7.312, edge_AtoB: 4.311

[Rank 0] (epoch: 1, iters: 660, time: 0.087, data: 0.015) , D_A: 0.260, G_A: 0.827, cycle_A: 2.398, D_B: 0.249, G_B: 0.353, cycle_B: 2.877, clip_style_AtoB: 7.281, clip_style_BtoA: 7.305, edge_AtoB: 3.717

[Rank 0] (epoch: 1, iters: 680, time: 0.085, data: 0.025) , D_A: 0.372, G_A: 0.817, cycle_A: 2.721, D_B: 0.156, G_B: 0.510, cycle_B: 3.940, clip_style_AtoB: 7.375, clip_style_BtoA: 7.312, edge_AtoB: 2.789

[Rank 0] (epoch: 1, iters: 700, time: 0.085, data: 0.026) , D_A: 0.265, G_A: 0.673, cycle_A: 2.574, D_B: 0.239, G_B: 0.366, cycle_B: 4.220, clip_style_AtoB: 7.289, clip_style_BtoA: 7.438, edge_AtoB: 4.260

[Rank 0] (epoch: 1, iters: 720, time: 0.082, data: 0.026) , D_A: 0.163, G_A: 0.448, cycle_A: 3.651, D_B: 0.232, G_B: 0.326, cycle_B: 2.806, clip_style_AtoB: 7.375, clip_style_BtoA: 7.453, edge_AtoB: 3.842

[Rank 0] (epoch: 1, iters: 740, time: 0.086, data: 0.016) , D_A: 0.237, G_A: 0.550, cycle_A: 4.568, D_B: 0.207, G_B: 0.401, cycle_B: 2.422, clip_style_AtoB: 7.336, clip_style_BtoA: 7.422, edge_AtoB: 4.007

[Rank 0] (epoch: 1, iters: 760, time: 0.088, data: 0.021) , D_A: 0.182, G_A: 0.373, cycle_A: 2.973, D_B: 0.219, G_B: 0.486, cycle_B: 3.363, clip_style_AtoB: 7.379, clip_style_BtoA: 7.414, edge_AtoB: 4.691

[Rank 0] (epoch: 1, iters: 780, time: 0.087, data: 0.016) , D_A: 0.149, G_A: 0.689, cycle_A: 2.715, D_B: 0.238, G_B: 0.543, cycle_B: 2.586, clip_style_AtoB: 7.164, clip_style_BtoA: 7.469, edge_AtoB: 4.292

[Rank 0] (epoch: 1, iters: 800, time: 0.089, data: 0.015) , D_A: 0.147, G_A: 0.527, cycle_A: 2.891, D_B: 0.248, G_B: 0.427, cycle_B: 2.864, clip_style_AtoB: 7.078, clip_style_BtoA: 7.391, edge_AtoB: 4.227

